Assistance No.;Job No.;Vessel;Description;Vessel Name;Job;Departure;Arrival;Start Mobilisation;Ordered;On Site;Start - On Site;Lignes;Start Job;Start Job - End Job;Lignes2;End Job;End Job - End Mobilisation;Lignes3;End Mobilisation;Total;Lignes4;Assistant Hrs;Running Hrs.;Time Registration;Used Configuration;Comments
ASS21060482;JOB21031090;SOUTHAMPTON;Southampton;HORIZON HIGHWAY;LOCK;Zuidelijk Insteekdok ZID OOST;;2021-06-08 02:45:00;08/06/21 02:00:00;2021-06-08 03:02:19;13.066600000000001;144219 - 144236;08/06/21 03:15:00;;;08/06/21 03:45:00;;;08/06/21 04:15:00;;;0,5;1,5;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21060434;JOB21031081;SOUTHAMPTON;Southampton;CRONUS LEADER;LOCK;Zuidelijk Insteekdok ZID WEST;;2021-06-07 21:00:00;07/06/21 23:15:00;2021-06-07 23:13:36;175.04489999999998;143875 - 144007;07/06/21 23:15:41;;;08/06/21 00:40:00;;;08/06/21 01:10:00;;;1,4;4,2;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21060252;JOB21030943;SOUTHAMPTON;Southampton;VIKING AMBER;LOCK ONLY;Zuidelijk Insteekdok STEIGER TOYOTA;;2021-06-07 13:11:56;07/06/21 13:55:00;2021-06-07 13:30:00;30.883399999999995;143407 - 143424;07/06/21 13:55:00;;;07/06/21 14:55:00;;;07/06/21 15:25:00;;;1,;2,2;Finished;TOWING WINCH FWD / STBD;VRAI
ASS21060232;JOB21030934;SOUTHAMPTON;Southampton;GLOVIS CHORUS;SHIFT ACHTERHAVEN;;Zuidelijk Insteekdok ZID WEST;2021-06-07 12:00:00;07/06/21 12:30:00;2021-06-07 12:20:21;42.6109;143335 - 143355;07/06/21 12:30:00;;;07/06/21 13:09:52;;;07/06/21 13:10:12;;;0,7;1,2;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21060110;JOB21030876;SOUTHAMPTON;Southampton;HOEGH ASIA;LOCK;;Zuidelijk Insteekdok ZID WEST;2021-06-07 01:45:00;07/06/21 02:45:00;2021-06-07 02:15:00;26.543799999999997;142720 - 142749;07/06/21 02:45:00;;;07/06/21 04:45:00;;;07/06/21 05:15:00;;;2,;3,5;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21060011;JOB21030848;SOUTHAMPTON;Southampton;LAKE GENEVA;LOCK;Zuidelijk Insteekdok ZID WEST;;2021-06-06 16:26:35;06/06/21 16:40:00;2021-06-06 16:34:51;18.759700000000002;142162 - 142169;06/06/21 16:40:00;;;06/06/21 18:22:13;;;06/06/21 18:55:00;;;1,7;2,5;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21059991;JOB21030841;SOUTHAMPTON;Southampton;HORIZON HIGHWAY;LOCK;;Zuidelijk Insteekdok ZID OOST;2021-06-06 15:00:00;06/06/21 13:45:00;2021-06-06 15:39:29;30.073500000000003;142076 - 142114;06/06/21 15:45:00;;;06/06/21 16:22:57;;;06/06/21 16:25:46;;;0,6;1,4;Finished;TOWING WINCH FWD / STBD;FAUX
ASS21059814;JOB21030771;SOUTHAMPTON;Southampton;VIKING AMBER;SHIFT ACHTERHAVEN;;Zuidelijk Insteekdok ZID WEST;2021-06-05 19:45:00;05/06/21 20:25:00;2021-06-05 20:15:00;64.6062;140921 - 140950;05/06/21 20:25:00;;;05/06/21 21:15:00;;;05/06/21 21:45:00;;;0,8;2,;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21059714;JOB21030741;SOUTHAMPTON;Southampton;TULANE;SHIFT ACHTERHAVEN;;Noordelijk Insteekdok ICO WEST;2021-06-05 14:30:00;05/06/21 14:50:00;2021-06-05 14:50:58;37.305499999999995;140606 - 140626;05/06/21 14:51:02;;;05/06/21 15:28:00;;;05/06/21 16:00:00;;;0,6;1,5;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21059582;JOB21030660;SOUTHAMPTON;Southampton;GLOVIS CENTURY;LOCK;;Zuidelijk Insteekdok ZID OOST;2021-06-05 04:30:00;05/06/21 03:05:00;2021-06-05 04:30:00;;;05/06/21 04:50:00;;;05/06/21 05:40:00;;;05/06/21 06:10:00;;;0,8;1,7;Finished;TOWING WINCH FWD / PORT;VRAI
